x	y
43.908047	89.844774
45.305250	89.148384
46.691412	88.430267
48.066194	87.690598
99.631602	8.575772
49.429262	86.929558
50.780283	86.147332
52.118929	85.344111
53.444872	84.520090
54.757790	83.675471
99.753336	7.019392
99.850760	5.461302
87.402376	48.588317
88.150231	47.217971
88.876602	45.836117
56.057363	82.810459
99.923848	3.901881
99.972583	2.341509
57.343274	81.925264
99.996954	0.780566
99.996954	-0.780566
99.972583	-2.341509
89.581313	44.443092
90.264191	43.039235
90.925071	41.624889
77.813849	62.809273
58.615210	81.020104
59.872860	80.095197
61.115918	79.150771
62.344082	78.187054
99.923848	-3.901881
57.343274	-81.925264
56.057363	-82.810459
99.850760	-5.461302
99.753336	-7.019392
63.557052	77.204282
64.754532	76.202694
99.631602	-8.575772
99.485586	-10.130061
99.315324	-11.681882
99.120858	-13.230855
54.757790	-83.675471
53.444872	-84.520090
52.118929	-85.344111
98.902234	-14.776604
98.659507	-16.318752
98.392735	-17.856922
98.101984	-19.390741
97.787323	-20.919834
65.936230	75.182535
67.101859	74.144053
68.251134	73.087500
69.383775	72.013136
97.448831	-22.443828
97.086588	-23.962353
96.700685	-25.475037
91.563791	40.200399
96.291214	-26.981513
95.858276	-28.481413
50.780283	-86.147332
49.429262	-86.929558
48.066194	-87.690598
46.691412	-88.430267
45.305250	-89.148384
43.908047	-89.844774
95.401976	-29.974372
94.922425	-31.460026
94.419740	-32.938012
93.894044	-34.407971
93.345465	-35.869545
92.774136	-37.322376
92.180196	-38.766112
91.563791	-40.200399
90.925071	-41.624889
90.264191	-43.039235
89.581313	-44.443092
88.876602	-45.836117
88.150231	-47.217971
92.180196	38.766112
92.774136	37.322376
87.402376	-48.588317
86.633221	-49.946822
85.842951	-51.293154
85.031761	-52.626986
84.199847	-53.947991
83.347413	-55.255849
82.474665	-56.550240
81.581818	-57.830849
80.669087	-59.097363
42.500143	-90.519268
41.081881	-91.171701
39.653607	-91.801914
38.215668	-92.409754
36.768416	-92.995073
35.312203	-93.557727
33.847384	-94.097580
32.374316	-94.614500
30.893358	-95.108361
29.404871	-95.579044
27.909217	-96.026432
26.406762	-96.450417
70.499507	70.921221
79.736697	-60.349475
78.784874	-61.586879
24.897870	-96.850896
23.382911	-97.227771
21.862253	-97.580950
20.336267	-97.910348
18.805325	-98.215883
17.269800	-98.497482
15.730066	-98.755076
14.186498	-98.988602
12.639473	-99.198003
77.813849	-62.809273
11.089367	-99.383228
9.536558	-99.544232
7.981426	-99.680975
6.424348	-99.793425
4.865705	-99.881554
3.305876	-99.945341
1.745241	-99.984770
